Source,Target,Type,Weight
0,25,Undirected,0.700171001568171
0,33,Undirected,0.8154071077306376
0,35,Undirected,0.8552601053821434
0,37,Undirected,0.8552601053821434
0,131,Undirected,0.9179024223445551
0,157,Undirected,0.629979808328274
0,184,Undirected,0.6090525558675391
0,190,Undirected,0.6292233240146974
1,7,Undirected,0.7165708215117692
1,60,Undirected,0.8395072946161919
1,97,Undirected,0.6111085268280037
1,107,Undirected,0.702803437880891
1,119,Undirected,0.6011327057021637
1,137,Undirected,0.6361169452401437
1,158,Undirected,0.6972783164394749
1,169,Undirected,0.7719866427949971
1,170,Undirected,0.8055623567775381
1,196,Undirected,0.8914327789939376
2,8,Undirected,0.785838516278957
2,14,Undirected,0.6245247552132638
2,73,Undirected,0.6260266381099997
2,77,Undirected,0.7577451195757059
2,92,Undirected,0.6170764261807298
2,154,Undirected,0.6174867766832304
3,24,Undirected,0.6690505387694212
3,53,Undirected,0.6650922867678704
3,78,Undirected,0.7160930408448132
3,93,Undirected,0.6204215884405568
3,178,Undirected,0.6000126573450077
4,193,Undirected,0.626037447949884
5,116,Undirected,0.8670008843045113
6,105,Undirected,0.6874472397185376
6,120,Undirected,0.640900451502576
6,133,Undirected,0.8582982820328956
6,135,Undirected,0.6319752884520086
6,137,Undirected,0.7572238182275084
6,154,Undirected,0.7909056311912706
7,60,Undirected,0.6311017099063734
7,97,Undirected,0.6399843194608467
7,107,Undirected,0.7130081228519519
7,136,Undirected,0.6484194706513061
7,138,Undirected,0.6395906709546317
7,158,Undirected,0.6703231683161623
7,169,Undirected,0.7061553257958499
7,170,Undirected,0.6645400544019885
7,177,Undirected,0.6271307909402712
7,196,Undirected,0.6371569312470959
8,10,Undirected,0.7139013363842257
8,14,Undirected,0.7323051736258922
8,25,Undirected,0.6338996338492587
8,60,Undirected,0.6111137134151828
8,77,Undirected,0.6763024304080778
8,92,Undirected,0.8146738811051437
8,121,Undirected,0.6031630777482008
8,154,Undirected,0.7354658449888498
8,157,Undirected,0.6113636575105
8,182,Undirected,0.6110869080801377
9,18,Undirected,0.6219410986851128
9,65,Undirected,0.7902993354226413
9,80,Undirected,0.6879082117433749
9,93,Undirected,0.8612897135963098
9,108,Undirected,0.6139254344379702
9,110,Undirected,0.7058925387165413
9,114,Undirected,0.6794692291260299
9,127,Undirected,0.7582679543368245
9,146,Undirected,0.7141680129581551
9,180,Undirected,0.6373813080336853
9,193,Undirected,0.7607532971879327
10,14,Undirected,0.9191256711832074
10,61,Undirected,0.6733069003327277
10,62,Undirected,0.6436073491762329
10,92,Undirected,0.7069667194935492
10,94,Undirected,0.7085976991113357
10,121,Undirected,0.6824336539142507
10,143,Undirected,0.6482951046039512
10,154,Undirected,0.603324932508797
10,176,Undirected,0.8467611531049055
10,185,Undirected,0.6202121905855554
11,27,Undirected,0.685404558744027
11,47,Undirected,0.7366021242356182
11,73,Undirected,0.6033691108474177
11,172,Undirected,0.7610169625555311
11,186,Undirected,0.6536639589271558
11,188,Undirected,0.6545991702958038
11,190,Undirected,0.6058306302335383
12,18,Undirected,0.6056105930756331
12,22,Undirected,0.6085772651649082
12,160,Undirected,0.6822196580342592
12,164,Undirected,0.6358503432755325
12,174,Undirected,0.660320068722922
13,26,Undirected,0.6415763989145129
13,30,Undirected,0.7444341537522332
13,36,Undirected,0.6817649423773205
13,54,Undirected,0.7766711604407157
13,56,Undirected,0.6402947466915063
13,112,Undirected,0.7547651978618077
13,139,Undirected,0.723405267531037
13,142,Undirected,0.7067548505899308
13,144,Undirected,0.8224746501403336
13,145,Undirected,0.6495893219669227
13,147,Undirected,0.6713643460659257
13,153,Undirected,0.6986547311726734
13,167,Undirected,0.6314197467783907
13,194,Undirected,0.6571324650660936
14,15,Undirected,0.6324101232757905
14,69,Undirected,0.6233874676890788
14,71,Undirected,0.6364155202993085
14,74,Undirected,0.693421513361989
14,92,Undirected,0.6639234228505171
14,95,Undirected,0.6696264306688899
14,112,Undirected,0.6558533329437011
14,121,Undirected,0.6485700687830216
14,143,Undirected,0.784109018683727
14,154,Undirected,0.6222421089847106
14,176,Undirected,0.7903130714931593
14,187,Undirected,0.6038950866449024
14,194,Undirected,0.7253447195624053
15,28,Undirected,0.6064374556149402
15,74,Undirected,0.6441634389288444
15,94,Undirected,0.6705351246014184
15,143,Undirected,0.619998587662577
15,187,Undirected,0.6897310250652329
16,55,Undirected,0.6423084082428561
17,171,Undirected,0.8790401088206995
17,187,Undirected,0.6743884259756199
18,22,Undirected,0.8692608502239798
18,24,Undirected,0.607560627194041
18,31,Undirected,0.624921434628305
18,39,Undirected,0.7178617981480984
18,44,Undirected,0.6853645352433665
