Id,Label,LeadTime,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,PreviousCancellations,PreviousBookingsNotCanceled,ADR,hotel,ArrivalDateMonth,Meal,MarketSegment,IsRepeatedGuest,RequiredCarParkingSpaces,TotalOfSpecialRequests,DistributionChannel,ReservedRoomType,DepositType,CustomerType
0,0,405,27,4,0,2,2,0.0,0,0,0,114.4,City hotel,July,HB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient-Party
1,1,74,17,23,2,2,2,1.0,0,0,0,144.0,City hotel,April,BB,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
2,2,247,44,28,1,2,2,0.0,0,0,0,110.0,City hotel,October,BB,Groups,0,0,0,TA/TO,A,Non Refund,Transient
3,3,157,18,1,1,3,2,0.0,0,0,0,130.0,City hotel,May,BB,Groups,0,0,0,TA/TO,A,Non Refund,Transient
4,4,3,1,5,0,1,2,0.0,0,0,7,88.0,City hotel,January,SC,Online TA,1,0,1,TA/TO,A,No Deposit,Transient
5,5,66,29,15,2,4,2,0.0,1,0,0,192.0,Resort hotel,July,HB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
6,6,242,17,28,2,2,2,0.0,0,0,0,78.35,City hotel,April,SC,Online TA,0,0,0,TA/TO,A,No Deposit,Transient
7,7,21,11,12,0,1,1,2.0,0,0,0,127.0,City hotel,March,BB,Online TA,0,0,0,TA/TO,A,No Deposit,Transient
8,8,268,44,28,1,2,2,0.0,0,0,0,96.3,City hotel,October,BB,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
9,9,72,15,4,1,3,2,0.0,0,0,0,61.21,City hotel,April,SC,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
10,10,246,53,27,2,5,2,0.0,0,0,0,58.36,City hotel,December,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
11,11,351,40,3,2,2,2,0.0,0,1,0,62.0,City hotel,October,BB,Groups,0,0,0,TA/TO,A,No Deposit,Transient-Party
12,12,15,12,20,1,1,2,0.0,0,0,0,82.0,Resort hotel,March,BB,Online TA,0,1,1,TA/TO,D,No Deposit,Transient-Party
13,13,0,35,28,0,2,2,0.0,0,0,0,106.0,City hotel,August,BB,Direct,0,0,1,Direct,A,No Deposit,Transient
14,14,133,53,28,1,3,2,0.0,0,0,0,72.25,City hotel,December,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
15,15,48,43,19,1,3,2,0.0,0,0,0,72.36,City hotel,October,BB,Offline TA/TO,0,0,1,TA/TO,B,No Deposit,Transient-Party
16,16,53,14,7,2,5,2,1.0,0,0,0,199.71,Resort hotel,April,HB,Direct,0,1,0,Direct,H,No Deposit,Transient
17,17,102,42,16,0,2,2,0.0,0,0,0,101.5,City hotel,October,HB,Offline TA/TO,0,0,0,TA/TO,A,Non Refund,Transient-Party
18,18,34,7,13,0,1,2,0.0,0,0,0,78.3,City hotel,February,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
19,19,99,28,3,2,2,3,0.0,0,0,0,146.7,City hotel,July,BB,Online TA,0,0,0,TA/TO,D,No Deposit,Transient
20,20,250,33,14,2,5,2,0.0,0,0,0,112.1,City hotel,August,HB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient
21,21,587,7,16,0,2,2,0.0,0,0,0,62.0,City hotel,February,BB,Groups,0,0,0,TA/TO,A,Non Refund,Transient
22,22,3,11,11,0,1,2,0.0,0,0,0,109.0,City hotel,March,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
23,23,26,32,7,2,5,2,0.0,0,0,0,114.76,Resort hotel,August,BB,Offline TA/TO,0,0,2,TA/TO,D,No Deposit,Group
24,24,112,14,4,0,2,2,0.0,0,0,0,95.0,City hotel,April,BB,Offline TA/TO,0,0,0,TA/TO,A,Non Refund,Transient
25,25,418,40,26,1,2,2,0.0,0,0,0,107.0,City hotel,September,HB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient-Party
26,26,11,22,29,1,3,2,0.0,0,0,0,157.5,City hotel,May,BB,Direct,0,0,1,Direct,D,No Deposit,Transient
27,27,272,32,5,0,1,2,0.0,0,1,0,65.0,City hotel,August,BB,Groups,0,0,0,TA/TO,A,Non Refund,Transient
28,28,11,44,25,0,2,2,0.0,0,0,0,54.9,Resort hotel,October,BB,Corporate,0,0,0,Corporate,A,No Deposit,Transient-Party
29,29,351,14,8,2,5,2,0.0,0,0,0,82.0,Resort hotel,April,HB,Groups,0,0,0,TA/TO,D,No Deposit,Transient-Party
30,30,0,26,26,1,3,2,0.0,0,0,0,112.5,City hotel,June,BB,Direct,0,0,0,Direct,A,No Deposit,Transient
31,31,86,14,29,0,4,2,0.0,0,0,0,82.45,City hotel,March,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
32,32,260,38,19,2,5,2,0.0,0,1,0,54.99,Resort hotel,September,BB,Offline TA/TO,0,0,0,TA/TO,A,Non Refund,Transient
33,33,346,38,13,0,2,2,0.0,0,0,0,115.0,City hotel,September,HB,Offline TA/TO,0,0,1,TA/TO,A,No Deposit,Transient-Party
34,34,113,23,31,0,3,1,0.0,0,0,0,100.0,City hotel,May,BB,Corporate,0,0,0,TA/TO,A,Non Refund,Transient
35,35,257,27,1,0,2,2,0.0,0,0,0,101.5,City hotel,July,HB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient
36,36,1,49,30,0,1,1,0.0,0,0,0,93.0,City hotel,November,BB,Direct,0,0,0,Direct,A,No Deposit,Transient
37,37,257,27,1,0,2,2,0.0,0,0,0,101.5,City hotel,July,HB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient
38,38,14,21,24,0,2,1,0.0,0,0,0,157.5,City hotel,May,BB,Offline TA/TO,0,0,0,TA/TO,D,No Deposit,Transient
39,39,20,7,9,0,2,1,0.0,0,0,0,63.22,City hotel,February,BB,Online TA,0,0,1,TA/TO,D,No Deposit,Transient
40,40,19,33,12,1,2,2,0.0,0,0,0,225.67,Resort hotel,August,BB,Online TA,0,0,0,TA/TO,A,No Deposit,Transient
41,41,141,39,20,1,0,2,0.0,0,0,0,90.0,City hotel,September,BB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient-Party
42,42,94,7,13,1,3,3,0.0,0,0,0,88.0,Resort hotel,February,HB,Groups,0,0,0,TA/TO,A,No Deposit,Transient-Party
43,43,11,41,4,2,4,2,0.0,0,0,0,146.0,City hotel,October,BB,Direct,0,0,2,Direct,E,No Deposit,Transient
44,44,68,7,16,2,3,2,0.0,0,0,0,90.1,City hotel,February,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
45,45,105,50,8,1,3,2,0.0,0,0,0,37.8,Resort hotel,December,BB,Online TA,0,0,3,TA/TO,A,No Deposit,Transient
46,46,42,17,21,1,3,2,0.0,0,0,0,103.84,City hotel,April,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
47,47,279,30,23,0,2,2,0.0,0,1,0,62.8,City hotel,July,BB,Groups,1,0,0,TA/TO,A,No Deposit,Transient-Party
48,48,100,17,29,2,1,2,0.0,0,0,0,85.0,Resort hotel,April,HB,Groups,0,0,0,TA/TO,D,No Deposit,Transient-Party
49,49,171,10,5,2,5,2,0.0,0,0,0,73.0,Resort hotel,March,HB,Groups,0,0,0,TA/TO,E,No Deposit,Transient-Party
50,50,386,43,20,1,3,2,0.0,0,0,0,49.0,Resort hotel,October,BB,Groups,0,0,0,Corporate,A,No Deposit,Transient-Party
51,51,0,33,13,0,2,2,0.0,0,0,0,192.0,Resort hotel,August,BB,Online TA,0,0,0,TA/TO,D,No Deposit,Transient
52,52,162,32,6,2,1,2,0.0,0,0,0,80.1,City hotel,August,BB,Offline TA/TO,0,0,1,TA/TO,A,No Deposit,Transient
53,53,37,18,2,0,4,2,0.0,0,0,0,135.2,City hotel,May,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
54,54,15,29,20,0,2,2,0.0,0,0,0,129.0,City hotel,July,BB,Direct,0,0,0,Direct,A,No Deposit,Transient
55,55,15,28,4,1,2,3,1.0,0,0,0,272.0,Resort hotel,July,HB,Online TA,0,0,0,TA/TO,H,No Deposit,Transient
56,56,0,45,31,1,0,2,0.0,0,0,0,78.0,Resort hotel,October,BB,Direct,1,0,0,Direct,D,No Deposit,Transient
57,57,336,38,18,0,2,2,0.0,0,1,0,101.5,City hotel,September,HB,Offline TA/TO,0,0,0,TA/TO,A,Non Refund,Transient-Party
58,58,238,13,22,0,3,2,0.0,0,0,0,70.4,Resort hotel,March,HB,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
59,59,151,4,19,0,2,1,0.0,0,0,0,70.0,City hotel,January,BB,Offline TA/TO,0,0,0,TA/TO,A,No Deposit,Transient-Party
60,60,235,26,30,2,2,2,1.0,0,0,0,127.58,City hotel,June,BB,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
61,61,223,52,20,2,5,2,0.0,0,0,0,89.31,Resort hotel,December,HB,Online TA,0,1,3,TA/TO,D,No Deposit,Transient-Party
62,62,92,49,1,4,15,1,0.0,0,0,0,63.75,City hotel,December,BB,Online TA,0,0,1,TA/TO,A,No Deposit,Contract
63,63,139,28,3,2,5,2,0.0,0,0,0,181.0,Resort hotel,July,HB,Online TA,0,0,0,TA/TO,E,No Deposit,Transient
64,64,257,33,13,2,2,3,0.0,0,0,0,180.0,City hotel,August,BB,Online TA,0,0,1,TA/TO,D,No Deposit,Transient
65,65,42,7,13,1,4,2,0.0,0,0,0,74.8,City hotel,February,SC,Online TA,0,0,1,TA/TO,A,No Deposit,Transient
66,66,80,49,4,0,2,2,0.0,0,0,0,40.5,Resort hotel,December,BB,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
67,67,132,30,23,0,1,2,0.0,0,0,0,90.0,City hotel,July,HB,Groups,0,0,0,TA/TO,A,No Deposit,Transient-Party
68,68,29,47,15,0,2,1,0.0,0,0,7,48.0,Resort hotel,November,BB,Corporate,1,1,0,Corporate,A,No Deposit,Transient
69,69,5,51,14,0,4,2,0.0,0,0,0,66.3,City hotel,December,SC,Online TA,0,0,2,TA/TO,A,No Deposit,Transient
70,70,258,32,3,1,4,2,0.0,0,0,0,134.0,Resort hotel,August,BB,Online TA,0,0,0,TA/TO,A,No Deposit,Transient
71,71,3,47,19,0,1,2,0.0,0,0,0,71.0,Resort hotel,November,BB,Online TA,0,1,1,TA/TO,A,No Deposit,Transient
72,72,0,26,20,1,3,1,0.0,0,0,0,95.0,City hotel,June,BB,Aviation,0,0,0,Corporate,A,No Deposit,Transient
73,73,344,39,26,2,1,2,0.0,0,1,0,170.0,City hotel,September,BB,Groups,0,0,0,TA/TO,A,Non Refund,Transient
